COUNTY,field_2,UNIT,DIRECTION,LENGTH,
bari,6,33091,2,2214.148,NOTE: UNDER DIRECTION
bari,6,33092,1,5000,N-S DIRECTION = 1
bari,6,33092,2,5000,E-W DIRECTION = 2
bari,6,33093,2,2700.555,
bari,6,33094,1,5000,
bari,6,33094,2,5000,
bari,6,33095,2,1647.75,
bari,6,33096,1,5000,
bari,6,33096,2,5000,
bari,6,33097,1,726.211,
bari,6,33097,2,1772.742,
bari,6,33098,1,5000,
bari,6,33098,2,5000,
bari,6,33192,2,3493.898,
bari,6,33193,2,1993.313,
bari,6,33194,1,4032.531,
bari,6,33194,2,5000,
bari,6,33196,1,2751.187,
bari,6,33196,2,2319.617,
bari,6,33197,2,854.406,
bari,6,33198,1,5000,
bari,6,33198,2,5000,
bari,6,33294,2,2089.07,
bari,6,33594,2,845.078,
bari,6,34001,1,5000,
bari,6,34001,2,5000,
bari,6,34002,1,5000,
bari,6,34002,2,5000,
bari,6,34003,1,5000,
bari,6,34003,2,5000,
bari,6,34004,1,5000,
bari,6,34004,2,5000,
bari,6,34005,1,5000,
bari,6,34005,2,5000,
bari,6,34006,1,5000,
bari,6,34006,2,5000,
bari,6,34007,1,5000,
bari,6,34007,2,5000,
bari,6,34008,1,5000,
bari,6,34008,2,5000,
bari,6,34011,1,5000,
bari,6,34011,2,5000,
bari,6,34012,1,5000,
bari,6,34012,2,5000,
bari,6,34013,1,5000,
bari,6,34013,2,5000,
bari,6,34014,1,5000,
bari,6,34014,2,5000,
bari,6,34015,1,5000,
bari,6,34015,2,5000,
bari,6,34016,1,5000,
bari,6,34016,2,5000,
bari,6,34017,1,5000,
bari,6,34017,2,5000,
bari,6,34018,1,5000,
bari,6,34018,2,5000,
bari,6,34021,1,5000,
bari,6,34021,2,5000,
bari,6,34022,1,5000,
bari,6,34022,2,5000,
bari,6,34023,1,5000,
bari,6,34023,2,5000,
bari,6,34024,1,5000,
bari,6,34024,2,5000,
bari,6,34025,1,5000,
bari,6,34025,2,5000,
bari,6,34026,1,5000,
bari,6,34026,2,5000,
bari,6,34027,1,5000,
bari,6,34027,2,5000,
bari,6,34028,1,5000,
bari,6,34028,2,5000,
bari,6,34031,1,5000,
bari,6,34032,1,5000,
bari,6,34033,1,5000,
bari,6,34034,1,5000,
bari,6,34035,1,5000,
bari,6,34037,1,5000,
bari,6,34062,1,5000,
bari,6,34064,1,5000,
bari,6,34066,1,5000,
bari,6,34068,1,5000,
bari,6,34071,1,5000,
bari,6,34071,2,5000,
bari,6,34072,1,5000,
bari,6,34072,2,5000,
bari,6,34073,1,5000,
bari,6,34073,2,5000,
bari,6,34074,1,5000,
bari,6,34074,2,5000,
bari,6,34075,1,5000,
bari,6,34075,2,5000,
bari,6,34076,1,5000,
bari,6,34076,2,5000,
bari,6,34077,1,5000,
bari,6,34077,2,5000,
bari,6,34078,1,5000,
bari,6,34078,2,5000,
bari,6,34081,1,5000,
bari,6,34081,2,5000,
bari,6,34082,1,5000,
bari,6,34082,2,5000,
bari,6,34083,1,5000,
bari,6,34083,2,5000,
bari,6,34084,1,5000,
bari,6,34084,2,5000,
bari,6,34085,1,5000,
bari,6,34085,2,5000,
bari,6,34086,1,5000,
bari,6,34086,2,5000,
bari,6,34087,1,5000,
bari,6,34087,2,5000,
bari,6,34088,1,5000,
bari,6,34088,2,5000,
bari,6,34091,1,5000,
bari,6,34091,2,5000,
bari,6,34092,1,5000,
bari,6,34092,2,5000,
bari,6,34093,1,5000,
bari,6,34093,2,5000,
bari,6,34094,1,5000,
bari,6,34094,2,5000,
bari,6,34095,1,5000,
bari,6,34095,2,5000,
bari,6,34096,1,5000,
bari,6,34096,2,5000,
bari,6,34097,1,5000,
bari,6,34097,2,5000,
bari,6,34098,1,5000,
bari,6,34098,2,5000,
bari,6,34101,1,5000,
bari,6,34101,2,5000,
bari,6,34102,1,5000,
bari,6,34102,2,5000,
bari,6,34103,1,5000,
bari,6,34103,2,5000,
bari,6,34104,1,5000,
bari,6,34104,2,5000,
bari,6,34105,1,5000,
bari,6,34105,2,5000,
bari,6,34106,1,5000,
bari,6,34106,2,5000,
bari,6,34107,1,5000,
bari,6,34107,2,5000,
bari,6,34108,1,5000,
bari,6,34108,2,5000,
bari,6,34111,1,5000,
bari,6,34111,2,5000,
bari,6,34112,1,5000,
bari,6,34112,2,5000,
bari,6,34113,1,5000,
bari,6,34113,2,5000,
bari,6,34114,1,5000,
bari,6,34114,2,5000,
bari,6,34115,1,5000,
bari,6,34115,2,5000,
bari,6,34116,1,5000,
bari,6,34116,2,5000,
bari,6,34117,1,5000,
bari,6,34117,2,5000,
bari,6,34118,1,5000,
bari,6,34118,2,5000,
bari,6,34121,1,5000,
bari,6,34121,2,5000,
bari,6,34122,1,5000,
bari,6,34122,2,5000,
bari,6,34123,1,5000,
bari,6,34123,2,5000,
bari,6,34124,1,5000,
bari,6,34124,2,5000,
bari,6,34125,1,5000,
bari,6,34125,2,5000,
bari,6,34126,1,5000,
bari,6,34126,2,5000,
bari,6,34127,1,5000,
bari,6,34127,2,5000,
bari,6,34128,1,5000,
bari,6,34128,2,5000,
bari,6,34131,1,5000,
bari,6,34132,1,5000,
bari,6,34133,1,5000,
bari,6,34134,1,5000,
bari,6,34135,1,5000,
bari,6,34137,1,5000,
bari,6,34162,1,5000,
bari,6,34164,1,5000,
bari,6,34166,1,5000,
bari,6,34168,1,5000,
bari,6,34171,1,5000,
bari,6,34171,2,5000,
bari,6,34172,1,5000,
bari,6,34172,2,5000,
bari,6,34173,1,5000,
bari,6,34173,2,5000,
bari,6,34174,1,5000,
bari,6,34174,2,5000,
bari,6,34175,1,5000,
bari,6,34175,2,5000,
bari,6,34176,1,5000,
bari,6,34176,2,5000,
bari,6,34177,1,5000,
bari,6,34177,2,5000,
bari,6,34178,1,5000,
bari,6,34178,2,5000,
bari,6,34181,1,5000,
bari,6,34181,2,5000,
bari,6,34182,1,5000,
bari,6,34182,2,5000,
bari,6,34183,1,5000,
bari,6,34183,2,5000,
bari,6,34184,1,5000,
bari,6,34184,2,5000,
bari,6,34185,1,5000,
bari,6,34185,2,5000,
bari,6,34186,1,5000,
bari,6,34186,2,5000,
bari,6,34187,1,5000,
bari,6,34187,2,5000,
bari,6,34188,1,5000,
bari,6,34188,2,5000,
bari,6,34191,1,5000,
bari,6,34191,2,5000,
bari,6,34192,1,2872.969,
bari,6,34192,2,2315.547,
bari,6,34193,1,5000,
bari,6,34193,2,5000,
bari,6,34194,1,5000,
bari,6,34194,2,5000,
bari,6,34195,1,5000,
bari,6,34195,2,5000,
bari,6,34196,2,300.609,
bari,6,34197,1,5000,
bari,6,34197,2,5000,
bari,6,34198,1,4771.141,
bari,6,34198,2,4330.453,
bari,6,34201,2,4391.641,
bari,6,34202,1,5000,
bari,6,34202,2,5000,
bari,6,34203,1,2288.336,
bari,6,34203,2,5000,
bari,6,34204,1,5000,
bari,6,34204,2,5000,
bari,6,34205,1,5000,
bari,6,34205,2,3986.438,
bari,6,34206,1,5000,
bari,6,34206,2,5000,
bari,6,34207,1,5000,
bari,6,34207,2,4689.547,
bari,6,34208,1,5000,
bari,6,34208,2,5000,
bari,6,34211,1,5000,
bari,6,34211,2,5000,
bari,6,34212,1,5000,
bari,6,34212,2,5000,
bari,6,34213,1,5000,
bari,6,34213,2,5000,
bari,6,34214,1,5000,
bari,6,34214,2,5000,
bari,6,34215,1,5000,
bari,6,34215,2,5000,
bari,6,34216,1,5000,
bari,6,34216,2,5000,
bari,6,34217,1,5000,
bari,6,34217,2,5000,
bari,6,34218,1,5000,
bari,6,34218,2,5000,
bari,6,34221,1,5000,
bari,6,34221,2,5000,
bari,6,34222,1,5000,
bari,6,34222,2,5000,
bari,6,34223,1,5000,
bari,6,34223,2,5000,
bari,6,34224,1,5000,
bari,6,34224,2,5000,
bari,6,34225,1,5000,
bari,6,34225,2,5000,
bari,6,34226,1,5000,
bari,6,34226,2,5000,
bari,6,34227,1,5000,
bari,6,34227,2,5000,
bari,6,34228,1,5000,
bari,6,34228,2,5000,
bari,6,34231,1,5000,
bari,6,34232,1,5000,
bari,6,34233,1,5000,
bari,6,34234,1,5000,
bari,6,34235,1,5000,
bari,6,34237,1,5000,
bari,6,34262,1,5000,
bari,6,34264,1,5000,
bari,6,34266,1,5000,
bari,6,34268,1,5000,
bari,6,34271,1,5000,
bari,6,34271,2,5000,
bari,6,34272,1,5000,
bari,6,34272,2,5000,
bari,6,34273,1,5000,
bari,6,34273,2,5000,
bari,6,34274,1,5000,
bari,6,34274,2,5000,
bari,6,34275,1,5000,
bari,6,34275,2,5000,
bari,6,34276,1,4577.398,
bari,6,34276,2,5000,
bari,6,34277,1,5000,
bari,6,34277,2,5000,
bari,6,34278,1,5000,
bari,6,34278,2,5000,
bari,6,34281,1,4577.273,
bari,6,34281,2,5000,
bari,6,34282,1,4577.031,
bari,6,34282,2,4255.797,
bari,6,34283,1,5000,
bari,6,34283,2,5000,
bari,6,34284,1,5000,
bari,6,34284,2,5000,
bari,6,34285,1,4577.148,
bari,6,34285,2,5000,
bari,6,34286,1,2178.469,
bari,6,34286,2,2240.859,
bari,6,34287,1,5000,
bari,6,34287,2,5000,
bari,6,34288,1,5000,
bari,6,34288,2,5000,
bari,6,34293,1,4076.641,
bari,6,34293,2,3285.672,
bari,6,34297,1,974.805,
bari,6,34297,2,1270.734,
bari,6,34301,2,4537.922,
bari,6,34302,1,5000,
bari,6,34302,2,5000,
bari,6,34303,2,4117.469,
bari,6,34304,1,5000,
bari,6,34304,2,5000,
bari,6,34305,1,5000,
bari,6,34305,2,4265.297,
bari,6,34306,1,5000,
bari,6,34306,2,5000,
bari,6,34307,1,5000,
bari,6,34307,2,4256.016,
bari,6,34308,1,5000,
bari,6,34308,2,5000,
bari,6,34311,1,5000,
bari,6,34311,2,5000,
bari,6,34312,1,5000,
bari,6,34312,2,5000,
bari,6,34313,1,5000,
bari,6,34313,2,5000,
bari,6,34314,1,5000,
bari,6,34314,2,5000,
bari,6,34315,1,5000,
bari,6,34315,2,5000,
bari,6,34316,1,5000,
bari,6,34316,2,5000,
bari,6,34317,1,5000,
bari,6,34317,2,5000,
bari,6,34318,1,5000,
bari,6,34318,2,5000,
bari,6,34321,1,5000,
bari,6,34321,2,5000,
bari,6,34322,1,5000,
bari,6,34322,2,5000,
bari,6,34323,1,5000,
bari,6,34323,2,5000,
bari,6,34324,1,5000,
bari,6,34324,2,5000,
bari,6,34325,1,5000,
bari,6,34325,2,5000,
bari,6,34326,1,5000,
bari,6,34326,2,5000,
bari,6,34327,1,5000,
bari,6,34327,2,5000,
bari,6,34328,1,5000,
bari,6,34328,2,5000,
bari,6,34331,1,5000,
bari,6,34332,1,5000,
bari,6,34333,1,5000,
bari,6,34334,1,5000,
bari,6,34335,1,5000,
bari,6,34337,1,5000,
bari,6,34362,1,5000,
bari,6,34364,1,5000,
bari,6,34366,1,5000,
bari,6,34368,1,5000,
bari,6,34371,1,5000,
bari,6,34371,2,3539.625,
bari,6,34373,1,5000,
bari,6,34373,2,5000,
